v = 39
a = 8
(b1, b2) = (41, 16)
c = 131
(d1, d2) = (40, 30)
(e1, e2) = (24, 11)
(f1, f2) = (26, 30)
(g1, g2) = (12, 6)
(h1, h2) = (15, 41)
(i1, i2) = (30, 15)
l = 6


Vertici 48
0 1 5
0 2 7
0 3 6
0 4 6
0 5 7
0 6 6
0 7 8
0 8 8
0 9 5
0 10 3
0 11 2
0 12 11
0 13 10
0 14 3
0 15 5
0 16 7
0 17 5
0 18 6
0 19 5
0 20 5
0 21 7
0 22 5
0 23 5
0 24 5
0 25 6
0 26 5
0 27 4
0 28 4
0 29 3
0 30 5
0 31 6
0 32 7
0 33 8
0 34 7
0 35 7
0 36 2
0 37 7
0 38 6
0 39 4
0 40 5
0 41 2
0 42 7
0 43 4
0 44 7
0 45 7
0 46 5
0 47 6
1 2 6
1 3 4
1 4 4
1 5 7
1 6 8
1 7 8
1 8 8
1 9 10
1 10 4
1 11 7
1 12 10
1 13 9
1 14 8
1 15 4
1 16 5
1 17 5
1 18 7
1 19 6
1 20 2
1 21 2
1 22 6
1 23 8
1 24 4
1 25 6
1 26 6
1 27 7
1 28 7
1 29 6
1 30 6
1 31 6
1 32 4
1 33 7
1 34 5
1 35 8
1 36 7
1 37 2
1 38 7
1 39 5
1 40 5
1 41 7
1 42 2
1 43 5
1 44 6
1 45 6
1 46 6
1 47 6
2 3 6
2 4 6
2 5 6
2 6 10
2 7 9
2 8 9
2 9 10
2 10 6
2 11 9
2 12 9
2 13 5
2 14 6
2 15 7
2 16 7
2 17 5
2 18 4
2 19 7
2 20 4
2 21 8
2 22 4
2 23 6
2 24 7
2 25 8
2 26 6
2 27 3
2 28 7
2 29 5
2 30 5
2 31 9
2 32 5
2 33 6
2 34 5
2 35 9
2 36 8
2 37 8
2 38 9
2 39 6
2 40 7
2 41 8
2 42 7
2 43 7
2 44 7
2 45 3
2 46 8
2 47 7
3 4 4
3 5 6
3 6 8
3 7 7
3 8 7
3 9 10
3 10 4
3 11 4
3 12 10
3 13 9
3 14 6
3 15 7
3 16 5
3 17 5
3 18 7
3 19 5
3 20 2
3 21 6
3 22 6
3 23 8
3 24 4
3 25 8
3 26 6
3 27 7
3 28 7
3 29 6
3 30 6
3 31 9
3 32 4
3 33 7
3 34 8
3 35 8
3 36 8
3 37 6
3 38 3
3 39 5
3 40 5
3 41 7
3 42 2
3 43 8
3 44 6
3 45 6
3 46 6
3 47 6
4 5 3
4 6 8
4 7 4
4 8 7
4 9 7
4 10 4
4 11 8
4 12 6
4 13 7
4 14 8
4 15 3
4 16 6
4 17 4
4 18 5
4 19 6
4 20 2
4 21 6
4 22 6
4 23 5
4 24 6
4 25 5
4 26 6
4 27 7
4 28 9
4 29 7
4 30 5
4 31 8
4 32 6
4 33 7
4 34 6
4 35 7
4 36 4
4 37 6
4 38 5
4 39 4
4 40 5
4 41 6
4 42 4
4 43 7
4 44 2
4 45 6
4 46 6
4 47 5
5 6 6
5 7 7
5 8 7
5 9 4
5 10 5
5 11 8
5 12 7
5 13 6
5 14 8
5 15 6
5 16 6
5 17 4
5 18 2
5 19 6
5 20 5
5 21 9
5 22 9
5 23 2
5 24 6
5 25 4
5 26 4
5 27 4
5 28 6
5 29 4
5 30 8
5 31 9
5 32 6
5 33 4
5 34 7
5 35 6
5 36 7
5 37 8
5 38 8
5 39 7
5 40 8
5 41 5
5 42 7
5 43 7
5 44 5
5 45 6
5 46 6
5 47 6
6 7 7
6 8 2
6 9 5
6 10 8
6 11 8
6 12 5
6 13 9
6 14 7
6 15 8
6 16 9
6 17 9
6 18 8
6 19 8
6 20 6
6 21 10
6 22 9
6 23 8
6 24 10
6 25 6
6 26 10
6 27 10
6 28 9
6 29 9
6 30 7
6 31 5
6 32 6
6 33 8
6 34 9
6 35 7
6 36 4
6 37 10
6 38 6
6 39 7
6 40 8
6 41 5
6 42 8
6 43 7
6 44 7
6 45 8
6 46 10
6 47 4
7 8 5
7 9 8
7 10 5
7 11 8
7 12 9
7 13 7
7 14 7
7 15 6
7 16 3
7 17 4
7 18 7
7 19 5
7 20 6
7 21 7
7 22 9
7 23 5
7 24 8
7 25 5
7 26 3
7 27 8
7 28 9
7 29 8
7 30 4
7 31 8
7 32 6
7 33 8
7 34 7
7 35 8
7 36 7
7 37 9
